showid,moviename,type,rating,year,duration,description
s135,Clear and Present Danger,Movie,9,1994,142 min,When the presidents friend is murdered CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel
s136,Cliffhanger,Movie,5,1993,113 min,Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers only to learn the climbers are actually thieving hijackers
s137,Cold Mountain,Movie,5,2003,154 min,This drama follows a wounded Civil War soldier making the long journey home while his faraway love fights for survival on her deceased fathers farm
s138,Crocodile Dundee in Los Angeles,Movie,7,2001,95 min,When Mick Crocodile Dundee and his family land in Los Angeles they soon learn some lessons about American life in this comedy sequel
s139,Dear John,Movie,9,2010,108 min,While on summer leave a US soldier falls for a college student But when hes forced to reenlist their handwritten letters hold the lovers together
s140,Do the Right Thing,Movie,7,1989,120 min,On a sweltering day in Brooklyn simmering racial tensions between residents rise to the surface and ignite rage violence and tragedy
s141,El patr³n radiograf­a de un crimen,Movie,4,2014,100 min,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy Based on a true case
s142,Extraction,Movie,6,2015,82 min,When a retired CIA agent is kidnapped his son a government analyst embarks on an unauthorized mission to find him and halt a terrorist plot
s143,Freedom Writers,Movie,5,2007,124 min,While her atrisk students are reading classics such as The Diary of Anne Frank a teacher asks them to keep journals about their troubled lives
s144,Green Lantern,Movie,7,2011,114 min,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat
s145,House Party,Movie,8,1990,104 min,Grounded by his strict father Kid risks life and limb to go to his best friend Plays big bash but experiences one obstacle after another
s146,House Party 2,Movie,9,1991,94 min,Kid goes off to college with scholarship money but when Play loses Kids tuition funds to a shady music promoter they devise a wild plan to raise cash
s147,House Party 3,Movie,9,1994,94 min,After Kid gets engaged Play plans to throw the biggest bachelor party ever But every celebration for these two always comes with complications
s148,How to Be a Cowboy,TV Show,8,2021,1 Season,Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive  and now hes teaching the world how to cowboy right ol son
s149,HQ Barbers,TV Show,4,2020,1 Season,When a family run barber shop in the heart of Lagos is threatened by real estate developers theyll do whatever it takes to stay in business
s150,I Got the Hook Up,Movie,4,1998,93 min,After getting their hands on a misdirected shipment of cell phones two hustlers try to cash in by hawking the merchandise from the back of their van
s151,In Too Deep,Movie,9,1999,97 min,Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery intimidation and murder
s152,Initial D,Movie,6,2005,109 min,By day an 18yearold delivers tofu for his father a retired race car driver but by night its the teens turn to take the wheel
s153,Janoskians Untold and Untrue,Movie,5,2016,88 min,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube
s154,KidECats,TV Show,4,2016,2 Seasons,Cookie Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning
s155,Kurokos Basketball,TV Show,4,2015,3 Seasons,Five middle school basketball stars went to separate high schools and now Tetsuya Kuroko and Seirin High are making their play for glory
